,0,1,2,3,4,5,6,7,8,9
0,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
2,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
5,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
7,-200,-200,-200,11,-200,-200,-200,-200,-200,-200
8,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
9,-200,-200,-200,-200,-200,-200,-200,10,13,-200
10,-200,-200,-200,-200,-200,-200,-200,-200,15,-200
11,9,-200,15,-200,-200,-200,-200,5,-200,-200
12,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
13,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
14,-200,13,-200,-200,-200,9,-200,-200,-200,-200
15,-200,8,-200,-200,-200,-200,-200,-200,-200,-200
16,-200,8,11,14,-200,-200,-200,-200,-200,-200
17,-200,-200,-200,-200,-200,12,-200,-200,-200,-200
18,-200,8,-200,-200,-200,14,-200,-200,-200,-200
19,-200,-200,10,-200,-200,-200,8,-200,-200,-200
20,-200,10,-200,-200,-200,15,-200,-200,10,-200
21,-200,-200,-200,-200,-200,-200,12,-200,-200,-200
22,-200,-200,-200,-200,-200,-200,7,-200,11,-200
23,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
24,-200,-200,-200,-200,-200,15,-200,-200,10,-200
25,-200,-200,-200,-200,10,14,-200,-200,14,-200
26,-200,12,-200,-200,-200,-200,-200,-200,-200,-200
27,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
28,15,-200,-200,-200,-200,10,10,-200,-200,14
29,11,-200,-200,-200,-200,-200,-200,-200,-200,-200
30,-200,-200,-200,10,8,11,-200,-200,10,-200
31,-200,-200,9,10,-200,-200,-200,-200,8,-200
32,14,-200,-200,-200,-200,-200,-200,-200,-200,-200
33,-200,11,-200,-200,11,-200,-200,9,9,-200
34,-200,-200,-200,-200,-200,-200,-200,11,-200,-200
35,-200,-200,-200,-200,9,-200,-200,-200,-200,-200
36,9,-200,-200,-200,-200,-200,-200,-200,-200,-200
37,-200,-200,-200,-200,-200,-200,10,-200,-200,-200
38,-200,9,-200,-200,-200,-200,-200,10,-200,-200
39,-200,-200,-200,-200,11,-200,-200,-200,-200,-200
40,-200,-200,-200,-200,-200,-200,-200,-200,8,8
41,-200,-200,7,9,-200,-200,-200,11,-200,8
42,-200,9,-200,-200,-200,-200,-200,-200,-200,-200
43,-200,-200,-200,-200,-200,-200,-200,9,13,-200
44,-200,-200,15,-200,-200,9,-200,-200,-200,-200
45,-200,-200,-200,-200,-200,-200,9,-200,-200,-200
46,-200,12,-200,-200,-200,11,-200,10,11,-200
47,-200,-200,-200,-200,-200,-200,12,-200,-200,-200
48,-200,-200,8,11,8,-200,-200,-200,-200,-200
49,10,15,14,-200,15,8,-200,-200,-200,-200
50,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
51,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
52,-200,-200,-200,-200,-200,-200,-200,-200,-200,8
53,-200,11,-200,-200,8,14,-200,-200,11,-200
54,-200,-200,11,-200,-200,-200,-200,-200,15,-200
55,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
56,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
57,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
58,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
59,12,-200,-200,7,-200,-200,8,-200,-200,-200
60,8,-200,-200,-200,-200,-200,-200,-200,-200,-200
61,-200,-200,-200,14,-200,-200,12,14,9,-200
62,-200,-200,7,8,-200,-200,-200,-200,-200,-200
63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
64,-200,-200,-200,-200,9,-200,-200,-200,-200,-200
65,-200,13,-200,-200,-200,-200,-200,-200,-200,10
66,-200,8,-200,-200,-200,-200,-200,-200,-200,-200
67,8,12,-200,-200,-200,-200,-200,-200,-200,-200
68,9,-200,-200,-200,-200,-200,9,9,-200,-200
69,-200,-200,-200,-200,12,-200,-200,-200,-200,-200
70,-200,-200,-200,-200,-200,-200,-200,-200,-200,11
71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
72,9,-200,13,-200,-200,-200,-200,11,-200,-200
73,-200,-200,-200,-200,-200,10,-200,-200,-200,-200
74,-200,-200,-200,-200,-200,-200,12,-200,-200,15
75,-200,-200,-200,-200,-200,9,11,-200,-200,-200
76,-200,-200,7,-200,-200,-200,-200,-200,7,-200
77,-200,-200,15,-200,-200,-200,11,-200,-200,-200
78,-200,8,-200,11,-200,-200,-200,-200,10,-200
79,-200,-200,-200,-200,-200,-200,-200,-200,-200,11
80,11,-200,-200,11,-200,-200,-200,-200,9,-200
81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
82,-200,-200,-200,-200,-200,-200,-200,9,-200,-200
